,English,German,Japanese,Spanish,Pirate,UwU,Binary,Chinese,Korean,
header_editor,Editor,Editor,エディター,Editor,,Editor,01000101 01100100 01101001 01110100 01101111 01110010,编辑器,,
,,,,,,,,,,
header_modules,Install Packages,Installiere Packages,追加モジュール,Modulos extra,Install Packages,Install Packages,01000101 01111000 01110100 01110010 01100001 00100000 01001101 01101111 01100100 01110101 01101100 01100101 01110011,安装额外功能模组,,
header_packages_curated,Curated Tools,,,,,,,,,
header_packages_vrcprefabs,VRCPrefabs List,,,,,,,,,
,,,,,,,,,,
newest,newest,neuste,最新,el más nuevo,,newest,01101110 01100101 01110111 01100101 01110011 01110100,最新,,
version,version,version,バージョン,version,,vewsion,01110110 01100101 01110010 01110011 01101001 01101111 01101110,版本,,
user,user,Benutzer,ユーザー,Usuario,,usew,01110101 01110011 01100101 01110010,用户,,
requirements,Requirements,Voraussetzungen,必要バージョン,Requisitos,,Wequiwements,01010010 01100101 01110001 01110101 01101001 01110010 01100101 01101101 01100101 01101110 01110100 01110011,要求,,
add,Add,Hinzufügen,追加,Añadir,,Add,01000001 01100100 01100100,添加,,
delete,Delete,Löschen,削除,Borrar,,Dewete,01000100 01100101 01101100 01100101 01110100 01100101,删除,,
save,Save,Speichern,保存,Guardar,,Save,01010011 01100001 01110110 01100101,保存,,
colorSpaceWarningSRGB,"This texture is not marked as sRGB, but should be",,,"Esta textura no está marcada como sRGB, pero debería estarlo.",,,,,,
colorSpaceWarningLinear,"This texture is marked as sRGB, but should be linear",,,"Esta textura no está marcada como sRGB, pero debería ser lineal.",,,,,,
,,,,,,,,,,
loggingLevel,Logging Level,,,,,,,,,
loggingLevel_tooltip,Set the logging level for the editor. Higher levels will show more information.,,,,,,,,,
default_texture_type,Default Texture Display,Texturen Darstellung,デフォルト表示テクスチャー,Visualización de textura predeterminada,Default Texture Display,Defauwt textuwe dispway,01000100 01100101 01100110 01100001 01110101 01101100 01110100 00100000 01010100 01100101 01111000 01110100 01110101 01110010 01100101 00100000 01000100 01101001 01110011 01110000 01101100 01100001 01111001,默认贴图显示,,
default_texture_type_tooltip,Select how your textures should be displayed if the property doesn't force the type,Wähle wie deine Texture Menüs dargestellt werden.,プロパティーに指定されなかった場合にどうテクスチャーが表示されるか指定してください,Seleccione cómo se deben mostrar sus texturas si la propiedad no fuerza el tipo,Select 'ow yer textures should be displayed if the property doesn't force the type,Sewect how youw textuwes shouwd be dispwayed if the pwopewty doesn't fowce the type,01010011 01100101 01101100 01100101 01100011 01110100 00100000 01101000 01101111 01110111 00100000 01111001 01101111 01110101 01110010 00100000 01110100 01100101 01111000 01110100 01110101 01110010 01100101 01110011 00100000 01110011 01101000 01101111 01110101 01101100 01100100 00100000 01100010 01100101 00100000 01100100 01101001 01110011 01110000 01101100 01100001 01111001 01100101 01100100 00100000 01101001 01100110 00100000 01110100 01101000 01100101 00100000 01110000 01110010 01101111 01110000 01100101 01110010 01110100 01111001 00100000 01100100 01101111 01100101 01110011 01101110 00100111 01110100 00100000 01100110 01101111 01110010 01100011 01100101 00100000 01110100 01101000 01100101 00100000 01110100 01111001 01110000 01100101,选择当属性未强制指定类型时的帖图显示类型,,
showRenderQueue,Show Render Queue,Zeige Render Queue,Render Queue(描画順)の表示,Mostrar Render Queue,Show Render Queue,Show wendew queue,01010011 01101000 01101111 01110111 00100000 01010010 01100101 01101110 01100100 01100101 01110010 00100000 01010001 01110101 01100101 01110101 01100101,显示渲染队列(Render Queue),,
showRenderQueue_tooltip,enable a render queue selector,"erlaubt dem render queue wähler auch mit vrchat zu funktionieren, indem er kopien des orginal shaders mit der neuen render queue erzeugt.",Render Queue(描画順)セレクターの有効化,Habilitar un selector de render queue.,enable a render queue selector,enabwe a wendew queue sewectow,01100101 01101110 01100001 01100010 01101100 01100101 00100000 01100001 00100000 01110010 01100101 01101110 01100100 01100101 01110010 00100000 01110001 01110101 01100101 01110101 01100101 00100000 01110011 01100101 01101100 01100101 01100011 01110100 01101111 01110010,启用渲染队列选择器,,
showColorspaceWarnings,Show Colorspace Warnings,,,Mostrar advertencias sobre el espacio de color,,,,,,
showColorspaceWarnings_tooltip,If disabled Colorspace Warnings under textures will be hidden,,,"Si está desactivado, no se mostrarán las advertencias sobre el espacio de color.",,,,,,
allowCustomLockingRenaming,Allow custom renaming for locking,,,Habilitar propiedades renombradas personalizadas,,,,,,
allowCustomLockingRenaming_tooltip,Allows custom Renamed Animated property suffix when shader is locked.,,,Permitir sufijos de propiedades animadas renombrados personalizados.,,,,,,
showNotes,Allow Notes in material headers,,,,,,,,,
showNotes_tooltip,Allows setting and displaying of Notes on Section Headers in the shader UI,,,,,,,,,
showManualReloadButton,Show Manual Reload Button,,,,,,,,,
showManualReloadButton_tooltip,Show button to force the ui to reload,,,,,,,,,
showStarNextToNonDefaultProperties,Show which values are not default,,,,,,,,,
showStarNextToNonDefaultProperties_tooltip,Mark properties that are not their default with a star,,,,,,,,,
showAnimatedDotOnHeaders,Show animated tagged dot on headers,,,,,,,,,
showAnimatedDotOnHeaders_tooltip,Shows a circle dot on headers that have a property that are tagged as animated (A or RA),,,,,,,,,
staggeringRowColors,Staggering Row Colors,,,,,,,,,
staggeringRowColors_tooltip,Stagger colors on each row so that some UI elements are easier to read.,,,,,,,,,
gradient_name,Gradient Save File Names,Gradient Datei Namen,グラデーションの保存名,Nombres de archivo de guardado de gradiente,Gradient Save File Names,Gwadient save fiwe names,01000111 01110010 01100001 01100100 01101001 01100101 01101110 01110100 00100000 01010011 01100001 01110110 01100101 00100000 01000110 01101001 01101100 01100101 00100000 01001110 01100001 01101101 01100101 01110011,渐层梯度贴图保存名称命名,,
gradient_name_tooltip,"Configures the way gradient texture files are named. Use <material>, <hash> and <prop> to identify the texture","Definiert wie gradient Datein benannt werden. benutze <material>, <hash> und <prop> um die texture zu indentifizieren",シェーダーインポート時にポップアップを表示する,"Configura la forma en que se nombran los archivos de textura de gradiente. use <material>, <hash> y <prop> para identificar la textura","configures the way gradient texture files are named. use <material>, <hash> and <prop> to identify the texture","configuwes the way gwadient textuwe fiwes awe named. use <material>, <hash> awnd <prop> tuwu identify the textuwe",01100011 01101111 01101110 01100110 01101001 01100111 01110101 01110010 01100101 01110011 00100000 01110100 01101000 01100101 00100000 01110111 01100001 01111001 00100000 01100111 01110010 01100001 01100100 01101001 01100101 01101110 01110100 00100000 01110100 01100101 01111000 01110100 01110101 01110010 01100101 00100000 01100110 01101001 01101100 01100101 01110011 00100000 01100001 01110010 01100101 00100000 01101110 01100001 01101101 01100101 01100100 00101110 00100000 01110101 01110011 01100101 00100000 00111100 01101101 01100001 01110100 01100101 01110010 01101001 01100001 01101100 00111110 00101100 00100000 00111100 01101000 01100001 01110011 01101000 00111110 00100000 01100001 01101110 01100100 00100000 00111100 01110000 01110010 01101111 01110000 00111110 00100000 01110100 01101111 00100000 01101001 01100100 01100101 01101110 01110100 01101001 01100110 01111001 00100000 01110100 01101000 01100101 00100000 01110100 01100101 01111000 01110100 01110101 01110010 01100101,设置渐层梯度贴图的命名规则。使用 <material>, <hash> 和 <prop> 来定义贴图,
gradient_add_hash_or_prop,Consider adding <hash> or <prop>.,Consider adding <hash> or <prop>.,名前に<hash>または<prop>を追加することを推奨します。,Considere agregar <hash> o <prop>.,Consider adding <hash> or <prop>.,Considew adding <hash> ow <prop>.,01000011 01101111 01101110 01110011 01101001 01100100 01100101 01110010 00100000 01100001 01100100 01100100 01101001 01101110 01100111 00100000 00111100 01101000 01100001 01110011 01101000 00111110 00100000 01101111 01110010 00100000 00111100 01110000 01110010 01101111 01110000 00111110 00101110,推荐添加 <hash> 或 <prop>,,
gradient_add_material,Consider adding <material>.,Consider adding <material>.,名前に<material>を追加することを推奨します。,Considere agregar <material>.,Consider adding <material>.,Considew adding <material>.,01000011 01101111 01101110 01110011 01101001 01100100 01100101 01110010 00100000 01100001 01100100 01100100 01101001 01101110 01100111 00100000 00111100 01101101 01100001 01110100 01100101 01110010 01101001 01100001 01101100 00111110 00101110,推荐添加 <material>,,
gradient_add_material_or_prop,Add <material> <hash> or <prop> to destingish between gradients.,Füge <material> <hash> oder <prop> hinzu um zwischen gradients unterscheiden zu können.,名前に<material>、<hash>または<prop>を追加して識別可能にしてください。,Agregue <material> <hash> o <prop> para distinguir entre gradientes.,Add <material> <hash> or <prop> to destingish between gradients.,Add <material> <hash> ow <prop> tuwu destingish between gwadients.,01000001 01100100 01100100 00100000 00111100 01101101 01100001 01110100 01100101 01110010 01101001 01100001 01101100 00111110 00100000 00111100 01101000 01100001 01110011 01101000 00111110 00100000 01101111 01110010 00100000 00111100 01110000 01110010 01101111 01110000 00111110 00100000 01110100 01101111 00100000 01100100 01100101 01110011 01110100 01101001 01101110 01100111 01101001 01110011 01101000 00100000 01100010 01100101 01110100 01110111 01100101 01100101 01101110 00100000 01100111 01110010 01100001 01100100 01101001 01100101 01101110 01110100 01110011 00101110,添加 <material> <hash> 或 <prop> 以识别不同的渐层梯度贴图,,
gradient_good_naming,Good naming.,Gute Benennung.,正常な名前です、いいセンスだ。,Buen nombre.,Good naming.,Good naming.,01000111 01101111 01101111 01100100 00100000 01101110 01100001 01101101 01101001 01101110 01100111 00101110,良好的名称,,
,,,,,,,,,,
autoMarkPropertiesAnimated,Automatically mark animated properties,,,,,,,,,
autoMarkPropertiesAnimated_tooltip,Automatically mark properties as animated when changed their value while in animation mode.,,,,,,,,,
,,,,,,,,,,
auto_lock_dialog,"{0} Material(s) are now being automatically locked and optimized for upload. This will only take a few seconds, please be patient.\n\nTo learn more about the auto-lock feature, click 'More Information' below.\n\nPress OK to continue.",,,"Los materiales se están optimizando automáticamente. Esto tardará unos segundos, por favor, tenga paciencia.\n\nPara obtener más información sobre la función de optimización del sombreador, haga clic en 'More Information' a continuación.\n\nHaga clic en OK para continuar.",,,,,,
lockin_button_single,Lock In Optimized Shader,Material optimieren und sperren,,Cerrar y optimizar el Sombreador,,,,,,
lockin_button_multi,Lock in Optimized Shaders ({0} materials),{0} Materialien optimieren und sperren,,Cerrar y optimizar el Sombreador ({0} materiales),,,,,,
unlock_button_single,Unlock Shader,Material entsperren,,Sombreador abierto,,,,,,
unlock_button_multi,Unlock Shaders ({0} materials),{0} Materialien entsperren,,Sombreadors abierto ({0} materiales),,,,,,
,,,,,,,,,,
preset_material_notify,This material is a preset.,Dieses Material definiert eine Voreinstellung.,,Este material es un preset.,,,,,,
preset_name,Preset Name,Voreinstellung Benennung,,Nombre preestablecido,,,,,,
preset_revert,Revert Preset: ,Voreinstellung rückgänig machen: ,,Revertir preajuste: ,,,,,,
preset_section_preset,Preset per Section,,,,,,,,,
preset_dismiss,Keep Changes,Änderungen beibehalten,,Mantener los cambios,,,,,,
,,,,,,,,,,
yes,Yes,Ja,はい,Sí,,,,,,
no,No,Nein,いいえ,No,,,,,,
recommended,Recommended,Empfohlen,おすすめ,Recomendado,,,,,,
autoSetAnchorOverride,Auto set Anchor Overrides (Bad Lighting Fix),,,Establecer automáticamente la anulación del ancla (Solución para la mala iluminación),,,,,,
autoSetAnchorOverride_tooltip,Automatically sets anchor overrides for renderers that don't have them set already. This happens during avatar upload and fixes some common lighting issues ingame.,,,Solución para corregir automáticamente los problemas comunes de iluminación en los videojuegos.,,,,,,
humanBoneAnchor,Human Bone Anchor,,,Ancla ósea humana,,,,,,
humanBoneAnchor_tooltip,Humanoid bone to use as the anchor override if GameObject not found.,,,Hueso humano para utilizar como ancla,,,,,,
anchorOverrideObjectName,Object Anchor Name,,,Nombre del ancla del objeto,,,,,,
anchorOverrideObjectName_tooltip,Name of a GameObject somewhere in your avatar's hierarchy to use as an anchor.\nIf not found the humanoid bone will be used.,,,,,,,,,
autoAnchorDialog_Title,Thry: Automatic Lighting Fix,,,Thry: Reparación automática de la iluminación,,,,,,
autoAnchorDialog_Text,"This script will set Anchor Overrides for every mesh on your Avatar, preventing your body from experiencing flickering or uneven lighting in the game. We highly recommend you enable this automatic fix.\n\nWould you like to turn it on now?\n\nYou can change this in Thry settings at any time.",,,"Este script corregirá la iluminación de cada malla de tu avatar. Le recomendamos encarecidamente que active esta corrección automática.\n\n¿Le gustaría encenderlo ahora?\n\nPuedes cambiar esto en la configuración de Thry en cualquier momento.",,,,,,
autoAnchorError_NotHumanoid,Auto Anchor Setter: Avatar {0} is not humanoid or is missing an Animator.,,,,,,,,,
forceAsyncCompilationPreview,Force Async Compilation In Preview (restart if disabling),,,,,,,,,
technical_header,Technical Settings,,,,,,,,,
forceAsyncCompilationPreview_tooltip,Speeds up compilation time and doesn't block UI during compilation. (restart editor when disabling),,,,,,,,,
saveAfterLockUnlock,Save after lock/unlock,,,,,,,,,
saveAfterLockUnlock_tooltip,This Should prevent cyan thumbnails when using Force Async Compilation.,,,,,,,,,
fixKeywordsWhenLocking,Fix Keywords When Locking,,,,,,,,,
fixKeywordsWhenLocking_tooltip,Fixes certain locking errors relating to keywords being missing.,,,,,,,,,
enableDeveloperMode,Developer Mode,,,,,,,,,
enableDeveloperMode_tooltip,Enables developer mode. This will show additional options and information in the Shader UI.,,,,,,,,,
disableUnlockedShaderStrippingOnBuild,Disable Unlocked Shader Stripping from Build (Requires Developer Mode enabled),,,,,,,,,
disableUnlockedShaderStrippingOnBuild_tooltip,Disables functionality that strips unlocked shaders from the build. Debug only - unlocked shaders are slower.,,,,,,,,
lockedShaderCacheBudgetMB,Shader Cache Budget (MB),,,,,,,,,
lockedShaderCacheBudgetMB_tooltip,Size Limit for the Locked Shader Cache (Default is 2048 MB). Locked shaders are kept after unlocking so re-locking is instant; once the folder passes this size - shaders that no material uses any more are deleted oldest first. Set to 0 to never delete them automatically (Not Recommended).,,,,,,,,,
,,,,,,,,,,
textures_header,Textures Compression,,,,,,,,,
texturePackerCompressionWithAlphaOverwrite,Texture Packer Compression | Textures With Alpha,,,,,,,,,
texturePackerCompressionWithAlphaOverwrite_tooltip,,,,,,,,,,
texturePackerCompressionNoAlphaOverwrite,Texture Packer Compression | Textures Without Alpha,,,,,,,,,
texturePackerCompressionNoAlphaOverwrite_tooltip,,,,,,,,,,
gradientEditorCompressionOverwrite,Gradient Editor Compression,,,,,,,,,
gradientEditorCompressionOverwrite_tooltip,,,,,,,,,,
,,,,,,,,,,
texture_packer_header,Inline Texture Packer,,,,,,,,,
inlinePackerChrunchCompression,Enable Chrunch Compression,,,,,,,,,
inlinePackerChrunchCompression_tooltip,,,,,,,,,,
inlinePackerSaveLocation,Save Location,,,,,,,,,
inlinePackerSaveLocation_tooltip,,,,,,,,,,
inlinePackerSaveLocationCustom,Custom Save Path,,,,,,,,,
inlinePackerSaveLocationCustom_tooltip,,,,,,,,,,
,,,,,,,,,,
developer_header,Developer Settings,,,,,,,,,
avatar_fixes_header,Avatar Fixes,,,,,,,,,
shader_ui_design_header,Shader UI Design,,,,,,,,,
shader_ui_features_header,Shader UI Features,,,,,,,,,
,,,,,,,,,,
stencil_col_label,Label,,,,,,,,,
stencil_col_decimal,Decimal,,,,,,,,,
stencil_bit_representation,Bit Representation,,,,,,,,,
stencil_row_existing_buffer,Existing buffer value:,,,,,,,,,
stencil_row_existing_buffer_tooltip,What the stencil buffer already holds where this pixel would be drawn.,,,,,,,,,
stencil_prop_existing_buffer_tooltip,What the stencil buffer already holds where this pixel would be drawn. This is the value the test compares the reference against.,,,,,,,,,
stencil_row_reference,Stencil Reference Value:,,,,,,,,,
stencil_row_reference_tooltip,The value this material tests against the buffer. The mask row beneath dims the bits that take no part.,,,,,,,,,
stencil_row_readmask,Stencil ReadMask Value:,,,,,,,,,
stencil_row_readmask_tooltip,↓ this bit is compared against the reference value.\n✕ this bit is blocked by the mask.\nClick a bit to toggle it.,,,,,,,,,
stencil_row_read_buffer,Read buffer value:,,,,,,,,,
stencil_row_read_buffer_tooltip,The existing buffer value after the read mask is applied. This is the value the comparison actually uses.,,,,,,,,,
stencil_row_writemask,Stencil WriteMask Value:,,,,,,,,,
stencil_row_writemask_tooltip,↓ this bit is written back to the stencil buffer.\n✕ this bit is blocked by the mask.\nClick a bit to toggle it.,,,,,,,,,
stencil_row_new_buffer,New buffer value:,,,,,,,,,
stencil_row_new_buffer_tooltip,"What the stencil buffer will hold after this draw, once the operation and write mask have been applied.",,,,,,,,,
stencil_summary_compare_function,Compare Function,,,,,,,,,
stencil_summary_pass_op,Pass Op,,,,,,,,,
stencil_summary_zfail_op,ZFail Op,,,,,,,,,
stencil_summary_fail_op,Fail Op,,,,,,,,,
stencil_branch_passes,passes,,,,,,,,,
stencil_branch_fails,fails,,,,,,,,,
stencil_branch_visible,visible,,,,,,,,,
stencil_branch_occluded,occluded,,,,,,,,,
stencil_compare_always,Always passes,,,,,,,,,
stencil_compare_never,Never passes,,,,,,,,,
stencil_compare_equal,Passes when the read value is {0},,,,,,,,,
stencil_compare_notequal,Passes unless the read value is {0},,,,,,,,,
stencil_compare_less,Passes when the read value is above {0},,,,,,,,,
stencil_compare_lessequal,Passes when the read value is {0} or above,,,,,,,,,
stencil_compare_greater,Passes when the read value is below {0},,,,,,,,,
stencil_compare_greaterequal,Passes when the read value is {0} or below,,,,,,,,,
stencil_compare_unknown,Unknown comparison,,,,,,,,,
stencil_op_leaves,Leaves {0},,,,,,,,,
stencil_op_writes,Writes {0},,,,,,,,,
stencil_op_leaves_masked,Leaves {0} (before write mask),,,,,,,,,
stencil_op_writes_masked,Writes {0} (before write mask),,,,,,,,,
ui_back,Back,Zurück,戻る,Atrás,,,,,,
ui_apply,Apply,Anwenden,適用,Aplicar,,,,,,
ui_cancel,Cancel,Abbrechen,キャンセル,Cancelar,,,,,,
ui_none,None,Keine,なし,Ninguno,,,,,,
ui_search,Search...,Suchen...,検索...,Buscar...,,,,,,
ui_all_types,All types,Alle Typen,すべての種類,Todos los tipos,,,,,,
ui_textures,Textures,Texturen,テクスチャ,Texturas,,,,,,
ui_colors,Colors,Farben,色,Colores,,,,,,
ui_numbers,Numbers,Zahlen,数値,Números,,,,,,
ui_vectors,Vectors,Vektoren,ベクトル,Vectores,,,,,,
ui_toggles,Toggles,Schalter,切り替え,Interruptores,,,,,,
ui_any_status,Any status,Jeder Status,すべての状態,Cualquier estado,,,,,,
ui_changed_only,Changed only,Nur geändert,変更のみ,Solo modificados,,,,,,
ui_assigned_textures,Assigned textures,Zugewiesene Texturen,割り当て済みテクスチャ,Texturas asignadas,,,,,,
ui_empty_textures,Empty textures,Leere Texturen,未設定のテクスチャ,Texturas vacías,,,,,,
ui_animated,Animated,Animiert,アニメーション,Animado,,,,,,
ui_animated_only,Animated only,Nur animiert,アニメーションのみ,Solo animados,,,,,,
ui_missing_references,Missing references,Fehlende Referenzen,参照切れ,Referencias faltantes,,,,,,
ui_favorites,Favorites,Favoriten,お気に入り,Favoritos,,,,,,
ui_clear_filters,Clear filters,Filter löschen,フィルターを解除,Borrar filtros,,,,,,
ui_general,General,Allgemein,一般,General,,,,,,
ui_current,Current,Aktuell,現在,Actual,,,,,,
ui_default,Default,Standard,既定,Predeterminado,,,,,,
ui_reset_section,Reset section,Abschnitt zurücksetzen,セクションをリセット,Restablecer sección,,,,,,
ui_reset_texture,Reset texture,Textur zurücksetzen,テクスチャをリセット,Restablecer textura,,,,,,
ui_reset_linked_values,Reset linked values,Verknüpfte Werte zurücksetzen,関連する値をリセット,Restablecer valores vinculados,,,,,,
ui_reset_value,Reset value,Wert zurücksetzen,値をリセット,Restablecer valor,,,,,,
ui_favorite,Favorite,Favorit,お気に入り,Favorito,,,,,,
ui_search_section,Search section,Abschnitt durchsuchen,セクションを検索,Buscar sección,,,,,,
ui_find_controller,Find controlling property,Steuernde Eigenschaft finden,制御するプロパティを検索,Buscar propiedad de control,,,,,,
ui_collapse_all,Collapse all,Alle einklappen,すべて折りたたむ,Contraer todo,,,,,,
ui_preset_preview,Changes to apply,Anzuwendende Änderungen,適用する変更,Cambios para aplicar,,,,,,
ui_preset_no_changes,No property changes selected.,Keine Änderungen ausgewählt.,変更が選択されていません。,No hay cambios seleccionados.,,,,,,
ui_preset_change_count,{0} property changes,{0} Eigenschaftsänderungen,{0} 件のプロパティ変更,{0} cambios de propiedades,,,,,,
ui_property_count_one,{0} property,{0} Eigenschaft,{0} 件のプロパティ,{0} propiedad,,,,,,
ui_property_count,{0} properties,{0} Eigenschaften,{0} 件のプロパティ,{0} propiedades,,,,,,
ui_matching_properties,Matching properties,Passende Eigenschaften,一致するプロパティ,Propiedades coincidentes,,,,,,
ui_saved_searches,Favorites and saved searches,Favoriten und gespeicherte Suchen,お気に入りと保存済みの検索,Favoritos y búsquedas guardadas,,,,,,
ui_save_current_search,Save current search…,Aktuelle Suche speichern…,現在の検索を保存…,Guardar búsqueda actual…,,,,,,
ui_save_search,Save search,Suche speichern,検索を保存,Guardar búsqueda,,,,,,
ui_remove_saved_search,Remove saved search,Gespeicherte Suche entfernen,保存済みの検索を削除,Eliminar búsqueda guardada,,,,,,
ui_no_filter_matches,No properties match these filters.,Keine Eigenschaften entsprechen diesen Filtern.,フィルターに一致するプロパティはありません。,Ninguna propiedad coincide con estos filtros.,,,,,,
ui_no_query_matches,No properties match “{0}”.,Keine Eigenschaften entsprechen „{0}“.,「{0}」に一致するプロパティはありません。,Ninguna propiedad coincide con «{0}».,,,,,,
ui_search_reduce_filters,Turn off a filter or clear filters to see more properties.,,,,,,,,,
ui_search_examples,"Try a property or section name, such as Normal Map or Emission.",,,,,,,,,
ui_missing_texture_help,Empty texture slots use shader defaults and are not missing references.,,,,,,,,,
ui_preset_preview_note,Property values are previewed here. Preset actions and linked materials update when you apply.,,,,,,,,,
ui_animation_unavailable,Animation recording is unavailable in this Unity version.,,,,,,,,,
ui_clearTexture,Clear texture,Textur entfernen,テクスチャを解除,Borrar textura,,,,,,
ui_mixed,Mixed,Gemischt,混在,Mixto,,,,,,
ui_multipleTextures,Multiple textures,Mehrere Texturen,複数のテクスチャ,Varias texturas,,,,,,
ui_noTextureAssigned,No texture assigned,Keine Textur zugewiesen,テクスチャ未設定,Sin textura asignada,,,,,,
ui_textureDrop,Drop texture,Textur ablegen,テクスチャをドロップ,Soltar textura,,,,,,
ui_textureEmptyHint,Drop a texture here or use the field above.,Textur hier ablegen oder das Feld oben verwenden.,ここにテクスチャをドロップするか、上のフィールドを使用します。,Suelta una textura aquí o usa el campo de arriba.,,,,,,
ui_textureMemory,Memory,Speicher,メモリ,Memoria,,,,,,
ui_textureFull,Full texture,Ganze Textur,テクスチャ全体,Textura completa,,,,,,
ui_textureRed,Red channel,Rotkanal,赤チャンネル,Canal rojo,,,,,,
ui_textureGreen,Green channel,Grünkanal,緑チャンネル,Canal verde,,,,,,
ui_textureBlue,Blue channel,Blaukanal,青チャンネル,Canal azul,,,,,,
ui_textureAlpha,Alpha channel,Alphakanal,アルファチャンネル,Canal alfa,,,,,,
ui_saveSdfTexture,Save SDF Texture,SDF-Textur speichern,SDF テクスチャを保存,Guardar textura SDF,,,,,,
ui_bakeSdfBindData,Bake SDF + Bind Data,SDF und Bindungsdaten erzeugen,SDF とバインドデータをベイク,Hornear SDF y datos de enlace,,,,,,
ui_save,Save,Speichern,保存,Guardar,,,,,,
ui_all,All,Alle,すべて,Todos,,,,,,
ui_paste_selected,Paste Selected,Auswahl einfügen,選択項目を貼り付け,Pegar seleccionados,,,,,,
ui_keep_changes,Keep changes,Änderungen behalten,変更を保持,Conservar cambios,,,,,,
ui_apply_preset,Apply presets,Voreinstellungen anwenden,プリセットを適用,Aplicar preajustes,,,,,,
ui_settings_title,Thry Settings,Thry-Einstellungen,Thry 設定,Ajustes de Thry,,,,,,
ui_search_settings,Search settings…,Einstellungen suchen…,設定を検索…,Buscar ajustes…,,,,,,
ui_settings_no_matches,No settings match your search.,Keine Einstellungen entsprechen der Suche.,検索に一致する設定はありません。,No hay ajustes que coincidan con la búsqueda.,,,,,,
ui_settings_appearance,Appearance,Darstellung,外観,Apariencia,,,,,,
ui_settings_editing_&_animation,Editing & animation,Bearbeitung und Animation,編集とアニメーション,Edición y animación,,,,,,
ui_settings_avatar_fixes,Avatar fixes,Avatar-Korrekturen,アバターの修正,Correcciones de avatar,,,,,,
ui_settings_textures_&_gradients,Textures & gradients,Texturen und Verläufe,テクスチャとグラデーション,Texturas y degradados,,,,,,
ui_settings_texture_packing,Texture packing,Texturkanäle packen,テクスチャのパッキング,Empaquetado de texturas,,,,,,
ui_settings_shader_optimization,Shader optimization,Shader-Optimierung,シェーダーの最適化,Optimización del shader,,,,,,
